State,IMS_Year_Category,Location,Description,Total_Inspection_Completed_Works,Completed_Works_U%,Ongoing_Works,Ongoing_U%,Maintenance_Works,Maintenance_U%,Bridge_Works,Bridge_U%,Total_Inspection
Block,1,Chas,        Unsatisfactory works grading during  2022 - 2023,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Block,1,Chas,        Unsatisfactory works grading during  2023 - 2024,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Block,2,Gomia,        Unsatisfactory works grading during  2022 - 2023,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Block,2,Gomia,        Unsatisfactory works grading during  2023 - 2024,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Block,3,Nawadih,        Unsatisfactory works grading during  2022 - 2023,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Block,3,Nawadih,        Unsatisfactory works grading during  2023 - 2024,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Block,4,Petarwar,        Unsatisfactory works grading during  2022 - 2023,3,0,0.00%,1,33.33%,0,0.00%,0,0.00%
Block,4,Petarwar,        Unsatisfactory works grading during  2023 - 2024,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%
